topic_id,video_count,median_views,median_like_rate,top_category,category_mix,topic_label
208,19,426946.0,0.04863630494572986,research_science,"{'research_science': 18, 'tech': 1}",208_secret weapon_117_weapon_secret
92,47,421974.0,0.01840914384587229,research_science,"{'research_science': 44, 'tech': 3}",92_ram_components_module_parts
147,30,403095.0,0.034777814699668834,entertainment,"{'entertainment': 29, 'gaming': 1}",147_mandalorian grogu_mandalorian_star wars_wars movies
7,270,401291.5,0.04217558857592153,gaming,"{'gaming': 260, 'tech': 4, 'entertainment': 4, 'fitness': 2}",7_game roblox_games roblox_roblox_roblox funny
145,31,397835.0,0.02948591495404185,entertainment,{'entertainment': 31},145_jon_comedian_tv_daily
106,44,380378.5,0.0519043866397841,research_science,{'research_science': 44},106_mozart_sciencephile science_sciencephile merch_piano
37,83,378068.0,0.017312675077104666,gaming,"{'gaming': 82, 'fitness': 1}",37_fortnite videos_fortnite new_new fortnite_fortnite battle
192,20,377322.5,0.04864338320255465,gaming,"{'gaming': 19, 'tech': 1}",192_xbox game_gamertag act_xbox_xbox series
194,20,372200.5,0.04306932752140495,gaming,"{'gaming': 11, 'entertainment': 6, 'tech': 2, 'research_science': 1}",194_epstein files_epstein_files_file
211,18,371924.0,0.03612636462790157,research_science,"{'research_science': 10, 'tech': 6, 'entertainment': 2}",211_sexual_sex_desire_kids vlogbrothers
94,47,349030.0,0.03891929105394691,gaming,"{'gaming': 38, 'entertainment': 9}",94_nights freddy_freddy_fnaf_nightshift
84,50,347315.0,0.031075874982894887,entertainment,{'entertainment': 50},84_comedian_emmy_podcast_late night
79,51,340181.0,0.054611795510493485,tech,"{'tech': 47, 'research_science': 4}",79_updates_update_channel support_support patreon
2,1024,316756.5,0.03771292595664815,research_science,"{'research_science': 968, 'tech': 45, 'gaming': 5, 'entertainment': 3, 'fitness': 2, 'food': 1}",2_numberphile computers_numberphile_numbers_haran numberphile
17,160,316499.0,0.03415114696602452,gaming,"{'gaming': 132, 'entertainment': 23, 'tech': 2, 'food': 1, 'research_science': 1, 'fitness': 1}",17_games horror_horror games_horror game_game horror
178,24,314285.0,0.016982636447823347,entertainment,{'entertainment': 24},178_tuesday_monday_sunday_saturday
196,20,305375.5,0.039070039679808266,research_science,"{'research_science': 9, 'entertainment': 7, 'tech': 2, 'food': 1, 'fitness': 1}",196_smuggling_fishing_trafficking_pirates
19,139,305130.0,0.03878779330910831,gaming,"{'gaming': 124, 'tech': 10, 'entertainment': 3, 'research_science': 1, 'fitness': 1}",19_mortal kombat_ps5 gameplay_kombat_new gameplay
245,14,298851.5,0.03336443822996671,entertainment,"{'entertainment': 10, 'tech': 3, 'gaming': 1}",245_scammed_scamming_scam_scammers
99,45,293446.0,0.038540766723790906,gaming,"{'gaming': 41, 'fitness': 2, 'food': 1, 'tech': 1}",99_pokemane pokimane_podcast_poki pokimane_pokimane poki
290,10,283696.0,0.036817567149093705,entertainment,"{'entertainment': 6, 'gaming': 3, 'food': 1}",290_jurassic world_jurassic_dinosaur_dino
164,26,282250.0,0.030397071132036727,gaming,{'gaming': 26},164_black ops_gameplay ps5_cod_duty black
172,25,278655.0,0.04693090503841867,research_science,{'research_science': 25},172_co2_carbon_carbon dioxide_climate change
234,16,254782.5,0.032728673369935755,gaming,{'gaming': 16},234_beast_2025 gameplay_xbox series_ps5
246,14,251280.0,0.06949631221845906,gaming,{'gaming': 14},246_stampy cat_stampylonghead stampy_stampy stampylongnose_stampy
150,29,249963.0,0.04938218637377725,entertainment,"{'entertainment': 8, 'gaming': 7, 'research_science': 7, 'tech': 7}",150_facebook smarter_twitter_social media_facebook
104,44,237815.0,0.03725748046081854,research_science,"{'research_science': 43, 'tech': 1}",104_quantum computers_quantum computing_quantum technology_quantum
144,31,237538.0,0.02814825086024762,entertainment,{'entertainment': 31},144_trailer fallout_fallout season_fallout_doomsday trailer
78,51,226367.0,0.0333440828389297,entertainment,"{'entertainment': 44, 'research_science': 3, 'gaming': 2, 'tech': 1, 'fitness': 1}",78_zombies_zombie_beat_dungeon
16,164,222161.5,0.03760085042296707,research_science,{'research_science': 164},16_periodic table_periodic videos_videos chemistry_periodic
201,19,217369.0,0.019742856760601696,research_science,"{'research_science': 16, 'tech': 3}",201_networking_protocols_protocol_packet
12,206,210304.0,0.04461165692973168,research_science,"{'research_science': 199, 'entertainment': 4, 'food': 2, 'tech': 1}",12_helping scishow_join scishow_patreon scishow_scishow going
